route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
19-4948,19,"Rocklea - PA Hospital StationLink",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/19/2026-09-18
19-5065,19,"Rocklea - PA Hospital StationLink",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/19/2026-09-18
19-5146,19,"Rocklea - PA Hospital StationLink",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/19,E463A4,1D1D1D
26-4948,26,"Upper Mt Gravatt - RBWH via Fortitude Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/26,E463A4,1D1D1D
26-5065,26,"Upper Mt Gravatt - RBWH via Fortitude Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/26,E463A4,1D1D1D
26-5146,26,"Upper Mt Gravatt - RBWH via Fortitude Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/26,E463A4,1D1D1D
29-4948,29,"Woolloongabba - UQ Lakes Shuttle",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/29,E463A4,1D1D1D
29-5065,29,"Woolloongabba - UQ Lakes Shuttle",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/29,E463A4,1D1D1D
29-5146,29,"Woolloongabba - UQ Lakes Shuttle",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/29,E463A4,1D1D1D
30-4948,30,"Spring Hill Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/30,FFD51F,1D1D1D
30-5065,30,"Spring Hill Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/30,FFD51F,1D1D1D
30-5146,30,"Spring Hill Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/30,FFD51F,1D1D1D
40-4948,40,"City Loop (Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/40,D20000,FFFFFF
40-5065,40,"City Loop (Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/40,D20000,FFFFFF
40-5146,40,"City Loop (Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/40,D20000,FFFFFF
50-4948,50,"City Loop (Anti-Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/50,D20000,FFFFFF
50-5065,50,"City Loop (Anti-Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/50,D20000,FFFFFF
50-5146,50,"City Loop (Anti-Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/50,D20000,FFFFFF
60-4948,60,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/60,6DD0F6,1D1D1D
60-5065,60,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/60,6DD0F6,1D1D1D
60-5146,60,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/60,6DD0F6,1D1D1D
61-4948,61,"Ashgrove Shops - Coorparoo via City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/61,7A0046,FFFFFF
61-5065,61,"Ashgrove Shops - Coorparoo via City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/61,7A0046,FFFFFF
61-5146,61,"Ashgrove Shops - Coorparoo via City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/61,7A0046,FFFFFF
70-5053,70,"L1 Helensvale - Burleigh Heads",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/70,E463A4,1D1D1D
70-5171,70,"L1 Helensvale - Burleigh Heads",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/70,E463A4,1D1D1D
77-4948,77,"Eight Mile Plains - Chermside via CLEM7",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/77,E463A4,1D1D1D
77-5065,77,"Eight Mile Plains - Chermside via CLEM7",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/77,E463A4,1D1D1D
77-5146,77,"Eight Mile Plains - Chermside via CLEM7",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/77,E463A4,1D1D1D
